ProductID,Date,Zip,Units,Revenue,Country,CountryZip
506,2014-05-31 00:00:00,97330,1,1359.6975,USA,USA97330
506,2014-05-31 00:00:00,97827,1,1359.6975,USA,USA97827
506,2014-05-31 00:00:00,98077,1,1359.6975,USA,USA98077
506,2014-05-31 00:00:00,98258,1,1359.6975,USA,USA98258
506,2014-05-31 00:00:00,98270,1,1359.6975,USA,USA98270
506,2014-05-31 00:00:00,98271,1,1359.6975,USA,USA98271
506,2014-05-31 00:00:00,98321,1,1359.6975,USA,USA98321
506,2014-05-31 00:00:00,98501,1,1359.6975,USA,USA98501
506,2014-05-31 00:00:00,98586,1,1359.6975,USA,USA98586
506,2014-05-31 00:00:00,99301,1,1359.6975,USA,USA99301
506,2014-05-31 00:00:00,01507,1,1359.6975,USA,USA01507
506,2014-05-31 00:00:00,02332,1,1359.6975,USA,USA02332
506,2014-05-31 00:00:00,06082,1,1359.6975,USA,USA06082
506,2014-05-31 00:00:00,06379,1,1359.6975,USA,USA06379
506,2014-05-31 00:00:00,06451,1,1359.6975,USA,USA06451
506,2014-05-31 00:00:00,06483,1,1359.6975,USA,USA06483
506,2014-05-31 00:00:00,07470,1,1359.6975,USA,USA07470
506,2014-05-31 00:00:00,07652,1,1359.6975,USA,USA07652
506,2014-05-31 00:00:00,07726,1,1359.6975,USA,USA07726
506,2014-05-31 00:00:00,11356,1,1359.6975,USA,USA11356
506,2014-05-31 00:00:00,12404,1,1359.6975,USA,USA12404
506,2014-05-31 00:00:00,12586,1,1359.6975,USA,USA12586
506,2014-05-31 00:00:00,12734,1,1359.6975,USA,USA12734
506,2014-05-31 00:00:00,13082,1,1359.6975,USA,USA13082
506,2014-05-31 00:00:00,14020,1,1359.6975,USA,USA14020
506,2014-05-31 00:00:00,14138,1,1359.6975,USA,USA14138
506,2014-05-31 00:00:00,15068,1,1359.6975,USA,USA15068
506,2014-05-31 00:00:00,15717,1,1359.6975,USA,USA15717
506,2014-05-31 00:00:00,17067,1,1359.6975,USA,USA17067
506,2014-05-31 00:00:00,17404,1,1359.6975,USA,USA17404
506,2014-05-31 00:00:00,17857,1,1359.6975,USA,USA17857
506,2014-05-31 00:00:00,17889,1,1359.6975,USA,USA17889
506,2014-05-31 00:00:00,17972,1,1359.6975,USA,USA17972
506,2014-05-31 00:00:00,18080,1,1359.6975,USA,USA18080
506,2014-05-31 00:00:00,18518,1,1359.6975,USA,USA18518
506,2014-05-31 00:00:00,19518,1,1359.6975,USA,USA19518
506,2014-05-31 00:00:00,19522,1,1359.6975,USA,USA19522
506,2014-05-31 00:00:00,19805,1,1359.6975,USA,USA19805
506,2014-05-31 00:00:00,20659,1,1359.6975,USA,USA20659
506,2014-05-31 00:00:00,21078,1,1359.6975,USA,USA21078
506,2014-05-31 00:00:00,21113,1,1359.6975,USA,USA21113
506,2014-05-31 00:00:00,21206,1,1359.6975,USA,USA21206
506,2014-05-31 00:00:00,22191,1,1359.6975,USA,USA22191
506,2014-05-31 00:00:00,22405,1,1359.6975,USA,USA22405
506,2014-05-31 00:00:00,22514,1,1359.6975,USA,USA22514
506,2014-05-31 00:00:00,23188,1,1359.6975,USA,USA23188
506,2014-05-31 00:00:00,24211,1,1359.6975,USA,USA24211
506,2014-05-31 00:00:00,24589,1,1359.6975,USA,USA24589
506,2014-05-31 00:00:00,25130,1,1359.6975,USA,USA25130
506,2014-05-31 00:00:00,25504,1,1359.6975,USA,USA25504
506,2014-05-31 00:00:00,28216,1,1359.6975,USA,USA28216
506,2014-05-31 00:00:00,28376,1,1359.6975,USA,USA28376
506,2014-05-31 00:00:00,28777,1,1359.6975,USA,USA28777
506,2014-05-31 00:00:00,29617,1,1359.6975,USA,USA29617
506,2014-05-31 00:00:00,29655,1,1359.6975,USA,USA29655
506,2014-05-31 00:00:00,29715,1,1359.6975,USA,USA29715
506,2014-05-31 00:00:00,30127,1,1359.6975,USA,USA30127
506,2014-05-31 00:00:00,30439,1,1359.6975,USA,USA30439
506,2014-05-31 00:00:00,31763,1,1359.6975,USA,USA31763
506,2014-05-31 00:00:00,32011,1,1359.6975,USA,USA32011
506,2014-05-31 00:00:00,32216,1,1359.6975,USA,USA32216
506,2014-05-31 00:00:00,32725,1,1359.6975,USA,USA32725
506,2014-05-31 00:00:00,32750,1,1359.6975,USA,USA32750
506,2014-05-31 00:00:00,32904,1,1359.6975,USA,USA32904
506,2014-05-31 00:00:00,33614,1,1359.6975,USA,USA33614
506,2014-05-31 00:00:00,33825,1,1359.6975,USA,USA33825
506,2014-05-31 00:00:00,33914,1,1359.6975,USA,USA33914
506,2014-05-31 00:00:00,34224,1,1359.6975,USA,USA34224
506,2014-05-31 00:00:00,34677,1,1359.6975,USA,USA34677
506,2014-05-31 00:00:00,34715,1,1359.6975,USA,USA34715
506,2014-05-31 00:00:00,34746,1,1359.6975,USA,USA34746
506,2014-05-31 00:00:00,34984,1,1359.6975,USA,USA34984
506,2014-05-31 00:00:00,35096,1,1359.6975,USA,USA35096
506,2014-05-31 00:00:00,36250,1,1359.6975,USA,USA36250
506,2014-05-31 00:00:00,36351,1,1359.6975,USA,USA36351
506,2014-05-31 00:00:00,37015,1,1359.6975,USA,USA37015
506,2014-05-31 00:00:00,37087,1,1359.6975,USA,USA37087
506,2014-05-31 00:00:00,37777,1,1359.6975,USA,USA37777
506,2014-05-31 00:00:00,37914,1,1359.6975,USA,USA37914
506,2014-05-31 00:00:00,38583,1,1359.6975,USA,USA38583
506,2014-05-31 00:00:00,38606,1,1359.6975,USA,USA38606
506,2014-05-31 00:00:00,38821,1,1359.6975,USA,USA38821
506,2014-05-31 00:00:00,39110,1,1359.6975,USA,USA39110
506,2014-05-31 00:00:00,42240,1,1359.6975,USA,USA42240
506,2014-05-31 00:00:00,43140,1,1359.6975,USA,USA43140
506,2014-05-31 00:00:00,43310,1,1359.6975,USA,USA43310
506,2014-05-31 00:00:00,43402,1,1359.6975,USA,USA43402
506,2014-05-31 00:00:00,43449,1,1359.6975,USA,USA43449
506,2014-05-31 00:00:00,43607,1,1359.6975,USA,USA43607
506,2014-05-31 00:00:00,43617,1,1359.6975,USA,USA43617
506,2014-05-31 00:00:00,44001,1,1359.6975,USA,USA44001
506,2014-05-31 00:00:00,44011,1,1359.6975,USA,USA44011
506,2014-05-31 00:00:00,44022,1,1359.6975,USA,USA44022
506,2014-05-31 00:00:00,44410,1,1359.6975,USA,USA44410
